支付宝交易记录明细查询
账号:[409219701@qq.com]
起始日期:[2025-12-01 00:00:00]    终止日期:[2026-01-01 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
20251228110070001506680090346066	,20251228002161010000680344479900_PZ1036234462	,2025-12-28 13:01:26 ,2025-12-28 13:01:26 ,2025-12-28 13:01:26 ,支付宝网站     ,即时到账交易          ,广州吱驿网络技术有限公司    ,支付宝发红包你赚现金奖励        ,0.09    ,收入      ,交易成功    ,0.00     ,0.00     ,支付宝发红包你赚现金奖励        ,已收入      ,
2025122822001110681415303813	,13100600725122843860964265562	,2025-12-28 10:26:58 ,2025-12-28 10:27:06 ,2025-12-28 11:10:25 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,82.69   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
20251227200040011100270024807885	,                    	,2025-12-27 19:12:54 ,2025-12-27 19:12:56 ,2025-12-27 19:12:57 ,支付宝网站     ,即时到账交易          ,张欢              ,Transfer            ,5.00    ,收入      ,交易成功    ,0.00     ,0.00     ,Transfer            ,已收入      ,
2025122722001410681417040441	,17668339428802999110685	,2025-12-27 19:12:23 ,2025-12-27 19:20:01 ,2025-12-27 19:20:01 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,花生的小店           ,经营码交易               ,0.95    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122622001410681411966975	,34106600004857000220251226CCg45vkt	,2025-12-26 20:23:53 ,2025-12-26 20:24:02 ,2025-12-26 20:24:02 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,陕西省西安市麻辣串串      ,麻辣串串【买单】消费12.00元    ,9.92    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122422001410681454561251	,K00001UFA420251224085028X0	,2025-12-24 08:50:33 ,2025-12-24 08:50:34 ,2025-12-24 08:50:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西安市轨道交通集团有限公司   ,地铁-鱼化寨-08:16:38-缪家寨-08:50:28,4.95    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122222001410681453235204	,XP1825122222101242504362003971	,2025-12-22 22:47:29 ,2025-12-22 22:47:30 ,2025-12-22 22:47:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1825122222101242504362003971,20.15   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20251222110070001506680086340738	,20251222002161010000680280555417_PZ1339244268	,2025-12-22 19:45:49 ,2025-12-22 19:45:49 ,2025-12-22 19:45:49 ,支付宝网站     ,即时到账交易          ,广州吱驿网络技术有限公司    ,支付宝发红包你赚现金奖励        ,0.10    ,收入      ,交易成功    ,0.00     ,0.00     ,支付宝发红包你赚现金奖励        ,已收入      ,
2025122122001410681441849952	,08291251221210412   	,2025-12-21 21:04:14 ,2025-12-21 21:04:15 ,2025-12-21 21:04:15 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西安唐久便利连锁有限公司    ,山西省太原唐久超市有限公司-消费    ,3.75    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122122001410681441371743	,08291251221210347   	,2025-12-21 21:03:49 ,2025-12-21 21:03:50 ,2025-12-21 21:03:50 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,西安唐久便利连锁有限公司    ,山西省太原唐久超市有限公司-消费    ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
