支付宝交易记录明细查询
账号:[15771971917]
起始日期:[2025-12-18 00:00:00]    终止日期:[2026-01-18 22:13:59]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2026011822001408271448592218	,47687389378022109508272	,2026-01-18 20:22:18 ,2026-01-18 20:22:20 ,2026-01-18 20:22:20 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,擀面皮肉夹馍          ,收钱码收款               ,14.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011823001108271449186245	,T200P3192480696461364384	,2026-01-18 13:46:57 ,2026-01-18 13:47:04 ,2026-01-18 15:22:06 ,淘宝        ,支付宝担保交易         ,z***2           ,i5 11400f主机 gtx1050ti高配电脑 游戏主机,1399.00 ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011822001408271447944560	,4820180330024764010461368606330983004901968	,2026-01-18 13:30:09 ,2026-01-18 13:30:10 ,2026-01-18 13:30:10 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,古觉兰州面片（群贤路店）    ,美团收银909700208612329343,40.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011822001408271444665973	,P18M6666031260118366038364384	,2026-01-18 11:54:06 ,2026-01-18 11:54:08 ,2026-01-18 11:54:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,盒马              ,高原西芹 约750g等3类商品     ,147.60  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026011622001408271441284537	,1412660000489000000001122441826016	,2026-01-16 19:39:38 ,2026-01-16 19:39:39 ,2026-01-16 19:39:39 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,赵记羊杂            ,赵记羊杂（鸿基新城店）         ,29.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011522001408271438536031	,47684771038022109508272	,2026-01-15 19:38:24 ,2026-01-15 19:38:27 ,2026-01-15 19:38:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,擀面皮肉夹馍          ,收钱码收款               ,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011522001408271441296569	,26106600004857000220260115CCebv0kn	,2026-01-15 19:37:36 ,2026-01-15 19:37:40 ,2026-01-15 19:37:40 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,陕西省西安市麻辣串串      ,麻辣串串【买单】消费15.00元    ,13.31   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011422001408271434737458	,28106600004857000220260114CCd3vqji	,2026-01-14 18:37:59 ,2026-01-14 18:38:02 ,2026-01-14 18:38:02 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,陕西油泼面           ,陕西油泼面【买单】消费10.00元   ,10.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026011222001108271426486354_3178995423429364384	,T200P3178995423429364384	,2026-01-13 21:18:02 ,                    ,2026-01-13 21:18:02 ,淘宝        ,支付宝担保交易         ,x***7           ,退款-Claude Code API无限制直连,10.00   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026011322001108271431861931	,T200P3181661547145364384	,2026-01-13 16:48:11 ,2026-01-13 16:48:16 ,2026-01-13 16:48:21 ,淘宝        ,支付宝担保交易         ,x***9           ,BlackmagicCam Lut调色滤镜包+导入教程,0.10    ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
