支付宝交易记录明细查询
账号:[15771971917]
起始日期:[2025-01-01 00:00:00]    终止日期:[2026-01-01 00:00:00]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
20251230420466472705 	,202512301100300706050102952352	,2025-12-30 11:26:22 ,2025-12-30 11:26:23 ,2025-12-30 11:26:22 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国人民健康保险股份有限公司  ,2025.12月保费缴清-好医保·长期医疗-*锋,73.10   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20251230419961632705 	,202512301100300705790102900775	,2025-12-30 11:26:15 ,2025-12-30 11:26:16 ,2025-12-30 11:26:15 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,中国人民健康保险股份有限公司  ,2025.12月保费缴清-好医保·长期医疗-**利,73.10   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122822001108271430654717	,13190600725122835148712901020	,2025-12-28 19:08:08 ,2025-12-28 19:08:12 ,2025-12-28 19:37:04 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,史玉林凉皮(叁伍壹壹店)外卖订单    ,10.19   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122822001108271431230506	,13180600725122867275587901020	,2025-12-28 18:48:44 ,2025-12-28 18:48:51 ,2025-12-28 19:21:37 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,53.48   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2025122822001108271432632417	,T200P3150599953440364384	,2025-12-28 18:21:56 ,2025-12-28 18:22:00 ,2026-01-08 10:34:27 ,淘宝        ,支付宝担保交易         ,淘特**店           ,支付宝会员手帕纸10包         ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20251228102553010608270016591482	,25122865662804910798	,2025-12-28 15:42:49 ,2025-12-28 15:42:50 ,2025-12-28 15:42:49 ,支付宝网站     ,即时到账交易          ,中国人民健康保险股份有限公司  ,健康福·重疾1号(大病版)-*锋    ,239.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122822001408271430648401	,20251228016000001302701117059689	,2025-12-28 13:06:52 ,2025-12-28 13:06:56 ,2025-12-29 14:20:23 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蜜雪冰城            ,【蜜雪冰城】6元爆品券（11选1）   ,0.40    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025122822001408271429964734	,P18M6666031251228537182364384	,2025-12-28 13:01:23 ,2025-12-28 13:01:25 ,2025-12-28 13:01:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,盒马              ,盒马日日鲜 香菜 100g等3类商品  ,112.59  ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2025122822001408271430646565	,XP2025122810101609340205003439	,2025-12-28 10:29:29 ,2025-12-28 10:29:30 ,2025-12-28 10:29:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP2025122810101609340205003439 复制该单号，前往【拼多多App-我的订单】搜索框粘贴查询,39.64   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
20251227102553010908270013859982	,20251227940188502770	,2025-12-27 22:33:03 ,2025-12-27 22:33:03 ,2025-12-27 22:33:03 ,支付宝网站     ,即时到账交易          ,网商银行            ,支付宝转入到余利宝           ,2.99    ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
